#  2.40500084848  eV
178 0j
179 0j
180 0j
#  2.421  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 (1+0j)
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  1.837  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 (1+0j)
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  1.895  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 (1+0j)
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  1.894  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 (1+0j)
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  1.951  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 (1+0j)
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  1.959  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 (1+0j)
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  1.985  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 (1+0j)
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.059  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 (1+0j)
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.033  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 (1+0j)
154 0j
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.062  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 (1+0j)
155 0j
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.321  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 (1+0j)
156 0j
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.867  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 (1+0j)
157 0j
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.323  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 (1+0j)
158 0j
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.373  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 (1+0j)
159 0j
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.53  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
54 0j
55 0j
56 0j
57 0j
58 0j
59 0j
60 0j
61 0j
62 0j
63 0j
64 0j
65 0j
66 0j
67 0j
68 0j
69 0j
70 0j
71 0j
72 0j
73 0j
74 0j
75 0j
76 0j
77 0j
78 0j
79 0j
80 0j
81 0j
82 0j
83 0j
84 0j
85 0j
86 0j
87 0j
88 0j
89 0j
90 0j
91 0j
92 0j
93 0j
94 0j
95 0j
96 0j
97 0j
98 0j
99 0j
100 0j
101 0j
102 0j
103 0j
104 0j
105 0j
106 0j
107 0j
108 0j
109 0j
110 0j
111 0j
112 0j
113 0j
114 0j
115 0j
116 0j
117 0j
118 0j
119 0j
120 0j
121 0j
122 0j
123 0j
124 0j
125 0j
126 0j
127 0j
128 0j
129 0j
130 0j
131 0j
132 0j
133 0j
134 0j
135 0j
136 0j
137 0j
138 0j
139 0j
140 0j
141 0j
142 0j
143 0j
144 0j
145 0j
146 0j
147 0j
148 0j
149 0j
150 0j
151 0j
152 0j
153 0j
154 0j
155 0j
156 0j
157 0j
158 0j
159 (1+0j)
160 0j
161 0j
162 0j
163 0j
164 0j
165 0j
166 0j
167 0j
168 0j
169 0j
170 0j
171 0j
172 0j
173 0j
174 0j
175 0j
176 0j
177 0j
178 0j
179 0j
180 0j
#  2.536  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 0j
32 0j
33 0j
34 0j
35 0j
36 0j
37 0j
38 0j
39 0j
40 0j
41 0j
42 0j
43 0j
44 0j
45 0j
46 0j
47 0j
48 0j
49 0j
50 0j
51 0j
52 0j
53 0j
